12,[564.7824, 71.3288,-55.658 , 63.0871],[0.3816,0.7729,0.9425,0.3538,0.566 ]
100,[0.,0.,0.,0.],[0.7014,0.7221,0.6993,0.4214,0.4125]
101,[0.,0.,0.,0.],[ 0.1827, 0.0958, 0.2228, 0.1868,-0.0299]
110,[0.,0.,0.,0.],[0.2875,0.1496,0.3272,0.1889,0.0608]
112,[173.5522, 29.5911,-22.7068, 19.9823],[0.174 ,0.6021,0.5147,0.4291,0.6254]
120,[0.,0.,0.,0.],[0.1736,0.5284,0.1211,0.1004,0.3432]
121,[0.,0.,0.,0.],[0.8356,0.5765,0.2226,0.4392,1.1475]
123,[0.,0.,0.,0.],[ 0.1454,-0.0669, 0.25  , 0.3846,-0.1292]
132,[331.575 , 70.3694,-55.1096, 39.4343],[0.0149,0.0734,0.3758,0.6629,0.2368]
134,[317.6969, 87.4296,-71.3338, 38.5591],[0.635 ,0.4618,0.2261,0.8175,0.5398]
141,[0.,0.,0.,0.],[0.1746,0.8501,0.0458,0.1317,0.3841]
143,[0.,0.,0.,0.],[0.4814,0.3144,0.5367,0.3922,0.7307]
154,[312.9265,105.4468,-90.1879, 36.5247],[0.1974,0.1997,0.6743,0.1845,0.0825]
156,[ 474.6394, 189.5636,-172.1538,  52.9281],[0.2646,0.267 ,0.585 ,0.8607,0.2606]
163,[0.,0.,0.,0.],[0.1818,0.312 ,0.073 ,0.49  ,0.1567]
165,[0.,0.,0.,0.],[0.4783,0.3417,0.6515,0.2139,0.5205]
176,[ 323.0365, 144.8642,-132.558 ,  34.3855],[0.1398,0.1697,0.3127,0.2781,0.046 ]
178,[ 700.2663, 331.3965,-299.9053,  68.7397],[0.3581,0.3339,0.4725,0.3742,0.3234]
185,[0.,0.,0.,0.],[0.2174,0.232 ,0.289 ,0.1614,0.1632]
187,[0.,0.,0.,0.],[0.3945,0.2995,0.3403,0.57  ,0.2944]
198,[192.3248, 90.3466,-82.0249, 15.9536],[ 0.2579, 0.1056,-0.1512, 0.0251,-0.2276]
200,[0.,0.,0.,0.],[1.0825,0.6258,0.4482,0.439 ,0.8277]
201,[0.,0.,0.,0.],[ 1.0001e-01,-1.1104e-04, 2.7320e-01, 1.4025e-01, 1.3021e-01]
202,[0.,0.,0.,0.],[0.2104,0.1613,0.2934,0.0557,0.169 ]
210,[0.,0.,0.,0.],[0.2921,0.0321,0.3356,0.0345,0.3293]
212,[0.,0.,0.,0.],[0.3373,0.5074,0.8327,0.7464,0.4006]
214,[0.,0.,0.,0.],[ 0.3066, 0.3441,-0.0161, 0.1526, 0.1978]
220,[0.,0.,0.,0.],[-4.3472e-02, 3.0470e-01,-1.5859e-04, 6.7405e-01, 2.7172e-01]
221,[0.,0.,0.,0.],[0.2732,0.5077,0.3812,0.7351,0.7877]
222,[0.,0.,0.,0.],[-0.0783, 0.0576,-0.0044, 0.0554, 0.0575]
223,[0.,0.,0.,0.],[ 0.1155,-0.1578, 0.5359, 0.4989, 0.0719]
232,[0.,0.,0.,0.],[0.2147,0.0866,0.8005,0.0837,0.2082]
234,[0.,0.,0.,0.],[0.6681,0.6299,0.5557,0.3849,0.168 ]
236,[0.,0.,0.,0.],[ 0.209 , 0.027 ,-0.0384,-0.0713, 0.1372]
241,[0.,0.,0.,0.],[0.2796,0.5153,0.0796,0.2206,0.136 ]
243,[0.,0.,0.,0.],[0.8948,0.4864,0.3583,0.3428,0.3148]
245,[0.,0.,0.,0.],[ 0.2555,-0.0852, 0.3191, 0.1126, 0.2991]
254,[0.,0.,0.,0.],[-0.0154, 0.0978, 0.4067, 0.3277, 0.0059]
256,[0.,0.,0.,0.],[0.2501,0.5276,0.4551,0.5199,0.1582]
265,[0.,0.,0.,0.],[0.1732,0.2129,0.7642,0.3043,0.3263]
267,[0.,0.,0.,0.],[-0.1032,-0.0877, 0.2087, 0.0543, 0.162 ]
276,[0.,0.,0.,0.],[0.199 ,0.1818,0.036 ,0.0606,0.0034]
278,[0.,0.,0.,0.],[0.1777,0.4254,0.3047,0.2356,0.1703]
287,[0.,0.,0.,0.],[0.4975,0.2659,0.4911,0.3471,0.0825]
289,[0.,0.,0.,0.],[-0.135 , 0.0255,-0.0705, 0.3425,-0.1953]
298,[0.,0.,0.,0.],[ 0.0392,-0.0507,-0.0217,-0.1212,-0.5689]
299,[0.,0.,0.,0.],[ 1.6251, 0.303 , 3.6056, 6.231 ,-0.213 ]
300,[0.,0.,0.,0.],[0.6871,0.4627,1.0566,0.3681,0.8707]
301,[0.,0.,0.,0.],[-0.1076, 0.2664, 0.2048,-0.1096, 0.3967]
302,[0.,0.,0.,0.],[ 0.4933, 0.4267,-0.3233, 0.1386, 0.1873]
310,[0.,0.,0.,0.],[ 0.7961,-0.2179, 0.3696,-0.2072, 0.0218]
312,[0.,0.,0.,0.],[0.3233,1.0814,0.7811,0.3875,1.023 ]
314,[0.,0.,0.,0.],[0.203 ,0.3727,0.1307,0.2067,0.1277]
320,[0.,0.,0.,0.],[ 0.2859, 0.8772, 0.0102, 0.1878,-0.1288]
321,[0.,0.,0.,0.],[0.3724,1.2284,0.9925,0.1034,0.6927]
322,[0.,0.,0.,0.],[0.0091,0.136 ,0.    ,0.0228,0.    ]
323,[0.,0.,0.,0.],[-0.0309,-0.1572, 0.3273, 0.1746, 0.1428]
332,[0.,0.,0.,0.],[ 0.0987,-0.1993, 0.6419,-0.0374, 0.4594]
334,[0.,0.,0.,0.],[1.0152,0.8993,0.2351,1.2142,0.3403]
336,[0.,0.,0.,0.],[ 0.085 , 0.2034, 0.1309, 0.0817,-0.0476]
340,[0.,0.,0.,0.],[0.0614,0.1716,0.0047,0.0115,0.    ]
341,[0.,0.,0.,0.],[0.5083,0.6565,0.1004,0.1094,0.0454]
343,[0.,0.,0.,0.],[0.4771,0.8449,1.0186,0.7907,0.3168]
345,[0.,0.,0.,0.],[ 0.1001, 0.1811, 0.4083, 0.8049,-0.0748]
354,[0.,0.,0.,0.],[ 0.0215,-0.0102, 0.42  , 0.1941,-0.0117]
356,[0.,0.,0.,0.],[ 0.6036, 0.8547, 0.2425, 0.0304,-0.1989]
358,[0.,0.,0.,0.],[ 0.1742, 0.161 , 0.0022, 0.0405,-0.2108]
361,[0.,0.,0.,0.],[-0.0155, 0.1433, 0.0738, 0.0966, 0.0138]
363,[0.,0.,0.,0.],[0.1418,0.3337,0.0575,0.2698,0.3431]
365,[0.,0.,0.,0.],[0.4733,0.5491,0.8194,0.6653,0.0496]
367,[0.,0.,0.,0.],[-0.1443,-0.189 , 0.5108, 0.1785, 0.1763]
376,[0.,0.,0.,0.],[-0.0582, 0.1712, 0.2258,-0.0588,-0.0911]
378,[0.,0.,0.,0.],[ 0.1849, 0.4054, 0.0488, 0.2658,-0.1415]
383,[0.,0.,0.,0.],[0.    ,0.0248,0.0205,0.062 ,0.0477]
385,[0.,0.,0.,0.],[ 0.0976, 0.1138, 0.139 ,-0.0181, 0.1762]
387,[0.,0.,0.,0.],[0.3182,0.0559,0.3946,0.3774,0.092 ]
389,[0.,0.,0.,0.],[ 0.0115,-0.4341,-0.0053, 0.0489, 0.0586]
398,[0.,0.,0.,0.],[-0.2122,-0.1984,-0.2939,-0.0312, 0.0234]
399,[0.,0.,0.,0.],[4.1153e-01,2.0505e+00,3.6116e-03,6.7349e+00,5.4552e-01]
400,[0.,0.,0.,0.],[0.8049,1.0506,0.9619,1.2453,0.1642]
401,[0.,0.,0.,0.],[ 0.1613,-0.3577, 0.6655, 0.5015,-0.4967]
402,[0.,0.,0.,0.],[ 0.0016, 0.3297,-0.2704, 0.1921, 0.1147]
404,[0.,0.,0.,0.],[-0.0751, 0.0062,-0.0408, 0.1067,-0.0504]
410,[0.,0.,0.,0.],[ 0.0532,-0.497 , 0.2316, 0.4299,-0.0437]
412,[0.,0.,0.,0.],[ 0.6813, 1.2514,-0.1331, 1.5955,-0.0368]
414,[0.,0.,0.,0.],[-0.0863, 0.0216,-0.0266, 0.2978, 0.25  ]
420,[0.,0.,0.,0.],[ 0.2061, 0.8103,-0.1618,-0.0765, 0.0689]
421,[0.,0.,0.,0.],[0.5182,0.2423,1.916 ,1.4528,0.0673]
422,[0.,0.,0.,0.],[-0.0187, 0.1504,-0.0421,-0.0091,-0.1205]
423,[0.,0.,0.,0.],[ 0.4038, 0.2662, 0.0117,-0.1724,-0.4197]
432,[0.,0.,0.,0.],[-0.0327,-0.1459, 0.2176, 0.0993,-0.0925]
434,[0.,0.,0.,0.],[0.1858,0.204 ,0.3726,0.6504,0.0008]
436,[0.,0.,0.,0.],[-0.1686, 0.6085,-0.2327,-0.0703,-0.0407]
440,[0.,0.,0.,0.],[ 0.1381, 0.0838,-0.0585, 0.0084, 0.0964]
441,[0.,0.,0.,0.],[-0.0039, 0.2621,-0.1593, 0.0695, 0.1138]
443,[0.,0.,0.,0.],[ 0.6713, 0.451 , 1.5714, 0.2428,-0.1931]
445,[0.,0.,0.,0.],[ 0.0022, 0.044 , 0.3421,-0.2808,-0.3015]
454,[0.,0.,0.,0.],[-0.1598,-0.2507, 0.1144, 0.2469,-0.313 ]
456,[0.,0.,0.,0.],[ 0.3822, 0.2818, 0.0505, 1.0681,-0.5408]
458,[0.,0.,0.,0.],[ 0.0174, 0.3008,-0.2581, 0.0584,-0.116 ]
461,[0.,0.,0.,0.],[ 0.021 , 0.0342,-0.0368, 0.0714,-0.0456]
463,[0.,0.,0.,0.],[ 0.1004, 0.2259,-0.0626, 0.406 ,-0.0501]
465,[0.,0.,0.,0.],[ 0.2647, 0.0962, 0.8857, 0.8214,-0.1182]
467,[0.,0.,0.,0.],[ 0.2396,-0.1027, 0.4437, 0.1411, 0.0838]
469,[0.,0.,0.,0.],[-0.2554,-0.1642,-0.1954,-0.2059,-0.1911]
476,[0.,0.,0.,0.],[-0.0993,-0.151 ,-0.1049, 0.0463,-0.5883]
478,[0.,0.,0.,0.],[-0.2779,-0.0457,-0.2052, 0.9208,-0.8186]
485,[0.,0.,0.,0.],[ 0.0954, 0.1644,-0.0206, 0.0536, 0.0396]
487,[0.,0.,0.,0.],[ 0.1026, 0.2649, 0.3431, 1.1326,-0.2889]
489,[0.,0.,0.,0.],[ 0.1357,-0.2841, 0.682 , 0.1574,-0.3061]
498,[0.,0.,0.,0.],[ 0.0029,-0.2826, 0.0238, 0.1799,-0.6767]
499,[0.,0.,0.,0.],[10.8874, 2.6364, 1.8881, 2.5073,-1.3294]
500,[0.,0.,0.,0.],[0.4139,1.382 ,1.5478,2.5112,0.0813]
501,[0.,0.,0.,0.],[ 0.0483,-0.2492, 0.9887,-0.012 ,-0.2187]
502,[0.,0.,0.,0.],[-0.1999, 0.6685, 0.0411, 0.2848,-0.2999]
503,[0.,0.,0.,0.],[-0.0824,-0.2171, 0.0188,-0.1668,-0.0715]
504,[0.,0.,0.,0.],[ 0.0003,-0.1063,-0.1713, 0.0232,-0.0715]
510,[0.,0.,0.,0.],[ 0.2856, 0.0803,-0.2764, 0.3269, 0.0028]
512,[0.,0.,0.,0.],[ 0.9211, 1.6681,-0.1253, 0.9319,-0.5314]
514,[0.,0.,0.,0.],[-0.0676, 0.016 ,-0.0814,-0.1654,-0.0037]
520,[0.,0.,0.,0.],[ 0.2565, 0.3288, 0.1688,-0.0177,-0.1046]
521,[0.,0.,0.,0.],[ 1.4165, 0.8011, 0.6898, 1.5251,-0.5862]
523,[0.,0.,0.,0.],[ 0.0664,-0.2961, 0.3884, 0.2815,-0.3969]
525,[0.,0.,0.,0.],[-0.1173,-0.1908,-0.072 ,-0.1273,-0.2042]
532,[0.,0.,0.,0.],[ 0.0305,-0.3005, 0.0632,-0.1895,-0.4382]
534,[0.,0.,0.,0.],[-0.131 , 0.3571,-0.3374, 0.7141,-0.6749]
536,[0.,0.,0.,0.],[ 0.1364, 0.4095,-0.301 , 0.0795,-0.2138]
541,[0.,0.,0.,0.],[ 0.1465, 0.1588,-0.0733, 0.2128,-0.219 ]
543,[0.,0.,0.,0.],[ 0.0587, 0.0887, 0.315 , 0.6746,-0.5917]
545,[0.,0.,0.,0.],[-0.1685,-0.183 , 0.7673, 0.1902,-0.3778]
547,[0.,0.,0.,0.],[-0.1044,-0.0715,-0.026 ,-0.2177,-0.1612]
554,[0.,0.,0.,0.],[-0.1649,-0.2708,-0.0872,-0.0051,-0.6234]
556,[0.,0.,0.,0.],[ 0.3113, 0.2769,-0.4735, 0.4898,-1.0141]
558,[0.,0.,0.,0.],[ 0.0012, 0.3041,-0.0868, 0.1209,-0.1242]
563,[0.,0.,0.,0.],[-0.0286, 0.0011,-0.0036, 0.1565,-0.2601]
565,[0.,0.,0.,0.],[ 0.3206,-0.5406, 1.3416, 0.7881,-0.478 ]
567,[0.,0.,0.,0.],[ 0.3053,-0.0188, 0.1939, 0.5017,-0.049 ]
574,[0.,0.,0.,0.],[-0.0286, 0.    ,-0.0485,-0.0796, 0.0343]
576,[0.,0.,0.,0.],[-0.2375,-0.3687,-0.2814, 0.0658,-0.4308]
578,[0.,0.,0.,0.],[ 0.036 , 0.6024,-0.5642, 0.7786,-1.4736]
579,[0.,0.,0.,0.],[-0.023 , 0.2268, 0.0092, 0.0869,-0.3348]
585,[0.,0.,0.,0.],[-0.0183,-0.1892,-0.1373, 0.1781,-0.3109]
587,[0.,0.,0.,0.],[-0.1634, 0.1906, 0.3132, 0.7462,-0.7291]
589,[0.,0.,0.,0.],[ 0.1834,-0.3372, 0.0242, 1.1375,-0.3708]
598,[0.,0.,0.,0.],[-0.0102, 0.1053,-0.2534, 0.2326,-0.4102]
599,[0.,0.,0.,0.],[ 1.5987, 7.0343, 0.8927, 4.9295,-0.9304]
