iteration 1000, accuracy:0.41637010676156583, max accuracy:0.41637010676156583, loss:1394.4532470703125, min Loss:1394.45166015625
iteration 2000, accuracy:0.4288256227758007, max accuracy:0.4288256227758007, loss:1385.0582275390625, min Loss:1382.2921142578125
iteration 3000, accuracy:0.4412811387900356, max accuracy:0.4412811387900356, loss:1343.3958740234375, min Loss:1343.3958740234375
iteration 4000, accuracy:0.4110320284697509, max accuracy:0.4412811387900356, loss:1299.0072021484375, min Loss:1297.131103515625
iteration 5000, accuracy:0.4181494661921708, max accuracy:0.4412811387900356, loss:1258.58642578125, min Loss:1256.2371826171875
iteration 6000, accuracy:0.4199288256227758, max accuracy:0.4412811387900356, loss:1211.066162109375, min Loss:1211.066162109375
iteration 7000, accuracy:0.3896797153024911, max accuracy:0.4412811387900356, loss:1157.37939453125, min Loss:1157.058837890625
iteration 8000, accuracy:0.3879003558718861, max accuracy:0.4412811387900356, loss:1119.2806396484375, min Loss:1111.026123046875
iteration 9000, accuracy:0.3736654804270463, max accuracy:0.4412811387900356, loss:1087.272216796875, min Loss:1076.184326171875
iteration 10000, accuracy:0.4110320284697509, max accuracy:0.4412811387900356, loss:1082.8016357421875, min Loss:1047.7325439453125
iteration 11000, accuracy:0.38434163701067614, max accuracy:0.4412811387900356, loss:1019.5061645507812, min Loss:1019.5061645507812
iteration 12000, accuracy:0.39679715302491103, max accuracy:0.4412811387900356, loss:995.1727905273438, min Loss:993.8269653320312
iteration 13000, accuracy:0.41637010676156583, max accuracy:0.4412811387900356, loss:985.23828125, min Loss:970.35009765625
iteration 14000, accuracy:0.42526690391459077, max accuracy:0.4412811387900356, loss:952.14306640625, min Loss:948.7725830078125
iteration 15000, accuracy:0.4430604982206406, max accuracy:0.4430604982206406, loss:940.7586059570312, min Loss:930.1166381835938
iteration 16000, accuracy:0.3896797153024911, max accuracy:0.4430604982206406, loss:933.7855224609375, min Loss:915.5361938476562
iteration 17000, accuracy:0.41637010676156583, max accuracy:0.4430604982206406, loss:918.1730346679688, min Loss:897.310791015625
iteration 18000, accuracy:0.4181494661921708, max accuracy:0.4430604982206406, loss:926.3848876953125, min Loss:883.158203125
iteration 19000, accuracy:0.40213523131672596, max accuracy:0.4430604982206406, loss:912.7876586914062, min Loss:867.7977905273438
iteration 20000, accuracy:0.40747330960854095, max accuracy:0.4430604982206406, loss:868.2132568359375, min Loss:851.3115844726562
iteration 21000, accuracy:0.42526690391459077, max accuracy:0.4430604982206406, loss:843.8601684570312, min Loss:835.65380859375
iteration 22000, accuracy:0.4483985765124555, max accuracy:0.4483985765124555, loss:834.8310546875, min Loss:820.0059814453125
iteration 23000, accuracy:0.40391459074733094, max accuracy:0.4483985765124555, loss:818.1408081054688, min Loss:808.9286499023438
iteration 24000, accuracy:0.3932384341637011, max accuracy:0.4483985765124555, loss:825.2626953125, min Loss:796.9551391601562
