iteration 1000, accuracy:0.3888888888888889, max accuracy:0.3888888888888889, loss:978.8225708007812, min Loss:978.8219604492188
iteration 2000, accuracy:0.3850129198966408, max accuracy:0.3888888888888889, loss:961.5123901367188, min Loss:961.2791137695312
iteration 3000, accuracy:0.38372093023255816, max accuracy:0.3888888888888889, loss:950.3612670898438, min Loss:949.95263671875
iteration 4000, accuracy:0.3733850129198966, max accuracy:0.3888888888888889, loss:934.1747436523438, min Loss:933.7771606445312
iteration 5000, accuracy:0.36304909560723514, max accuracy:0.3888888888888889, loss:920.156005859375, min Loss:917.4751586914062
iteration 6000, accuracy:0.39664082687338503, max accuracy:0.39664082687338503, loss:902.3848266601562, min Loss:901.2894897460938
iteration 7000, accuracy:0.42118863049095606, max accuracy:0.42118863049095606, loss:888.1624755859375, min Loss:887.3151245117188
iteration 8000, accuracy:0.36046511627906974, max accuracy:0.42118863049095606, loss:876.52685546875, min Loss:873.6085815429688
iteration 9000, accuracy:0.417312661498708, max accuracy:0.42118863049095606, loss:863.4945678710938, min Loss:859.0465698242188
iteration 10000, accuracy:0.417312661498708, max accuracy:0.42118863049095606, loss:853.2511596679688, min Loss:847.244384765625
iteration 11000, accuracy:0.34108527131782945, max accuracy:0.42118863049095606, loss:843.0807495117188, min Loss:835.582763671875
iteration 12000, accuracy:0.4819121447028424, max accuracy:0.4819121447028424, loss:828.8231201171875, min Loss:824.9921264648438
iteration 13000, accuracy:0.4043927648578811, max accuracy:0.4819121447028424, loss:822.3359375, min Loss:814.35888671875
iteration 14000, accuracy:0.45348837209302323, max accuracy:0.4819121447028424, loss:802.8810424804688, min Loss:802.146484375
iteration 15000, accuracy:0.37467700258397935, max accuracy:0.4819121447028424, loss:793.2303466796875, min Loss:791.085693359375
iteration 16000, accuracy:0.4599483204134367, max accuracy:0.4819121447028424, loss:783.2172241210938, min Loss:780.0311889648438
iteration 17000, accuracy:0.43410852713178294, max accuracy:0.4819121447028424, loss:774.4080200195312, min Loss:767.7620239257812
iteration 18000, accuracy:0.29069767441860467, max accuracy:0.4819121447028424, loss:769.7418823242188, min Loss:757.163818359375
iteration 19000, accuracy:0.4186046511627907, max accuracy:0.4819121447028424, loss:749.1382446289062, min Loss:746.2396850585938
