iteration 1000, accuracy:0.38762511373976344, max accuracy:0.38762511373976344, loss:786.471435546875, min Loss:786.471435546875
iteration 2000, accuracy:0.3976342129208371, max accuracy:0.3976342129208371, loss:674.112548828125, min Loss:674.112548828125
iteration 3000, accuracy:0.39672429481346677, max accuracy:0.3976342129208371, loss:668.629150390625, min Loss:668.2185668945312
iteration 4000, accuracy:0.39126478616924476, max accuracy:0.3976342129208371, loss:666.6321411132812, min Loss:665.1407470703125
iteration 5000, accuracy:0.3867151956323931, max accuracy:0.3976342129208371, loss:662.5015258789062, min Loss:662.27099609375
iteration 6000, accuracy:0.3976342129208371, max accuracy:0.3976342129208371, loss:659.7493896484375, min Loss:659.3832397460938
iteration 7000, accuracy:0.3903548680618744, max accuracy:0.3976342129208371, loss:657.0567626953125, min Loss:656.5555419921875
iteration 8000, accuracy:0.3867151956323931, max accuracy:0.3976342129208371, loss:654.165771484375, min Loss:653.6593017578125
iteration 9000, accuracy:0.4103730664240218, max accuracy:0.4103730664240218, loss:651.7930297851562, min Loss:650.1741333007812
iteration 10000, accuracy:0.4240218380345769, max accuracy:0.4240218380345769, loss:648.3555908203125, min Loss:646.7672119140625
iteration 11000, accuracy:0.4212920837124659, max accuracy:0.4240218380345769, loss:643.6870727539062, min Loss:643.4284057617188
iteration 12000, accuracy:0.39854413102820746, max accuracy:0.4240218380345769, loss:642.0158081054688, min Loss:640.8179931640625
iteration 13000, accuracy:0.42038216560509556, max accuracy:0.4240218380345769, loss:639.556396484375, min Loss:638.722412109375
iteration 14000, accuracy:0.42857142857142855, max accuracy:0.42857142857142855, loss:637.256591796875, min Loss:636.9786987304688
iteration 15000, accuracy:0.41492265696087355, max accuracy:0.42857142857142855, loss:636.081787109375, min Loss:635.4561157226562
iteration 16000, accuracy:0.44313011828935395, max accuracy:0.44313011828935395, loss:634.2030639648438, min Loss:633.84228515625
iteration 17000, accuracy:0.45040946314831665, max accuracy:0.45040946314831665, loss:631.796630859375, min Loss:631.6588134765625
iteration 18000, accuracy:0.38398544131028206, max accuracy:0.45040946314831665, loss:631.3123168945312, min Loss:629.853271484375
iteration 19000, accuracy:0.451319381255687, max accuracy:0.451319381255687, loss:627.8283081054688, min Loss:627.6367797851562
iteration 20000, accuracy:0.41128298453139217, max accuracy:0.451319381255687, loss:626.4873657226562, min Loss:625.4877319335938
iteration 21000, accuracy:0.47224749772520475, max accuracy:0.47224749772520475, loss:624.6666870117188, min Loss:623.2236938476562
iteration 22000, accuracy:0.4167424931756142, max accuracy:0.47224749772520475, loss:622.3887329101562, min Loss:620.917236328125
iteration 23000, accuracy:0.3794358507734304, max accuracy:0.47224749772520475, loss:620.8134155273438, min Loss:618.4337158203125
iteration 24000, accuracy:0.41856232939035487, max accuracy:0.47224749772520475, loss:616.9038696289062, min Loss:616.5281372070312
iteration 25000, accuracy:0.42766151046405826, max accuracy:0.47224749772520475, loss:618.5383911132812, min Loss:614.3980712890625
iteration 26000, accuracy:0.3448589626933576, max accuracy:0.47224749772520475, loss:621.5038452148438, min Loss:612.2618408203125
iteration 27000, accuracy:0.451319381255687, max accuracy:0.47224749772520475, loss:617.2951049804688, min Loss:609.892333984375
iteration 28000, accuracy:0.4294813466787989, max accuracy:0.47224749772520475, loss:608.3959350585938, min Loss:607.9412841796875
iteration 29000, accuracy:0.45040946314831665, max accuracy:0.47224749772520475, loss:606.3510131835938, min Loss:605.47265625
iteration 30000, accuracy:0.39126478616924476, max accuracy:0.47224749772520475, loss:605.6190795898438, min Loss:603.2818603515625
iteration 31000, accuracy:0.34849863512283896, max accuracy:0.47224749772520475, loss:603.314208984375, min Loss:600.5267944335938
iteration 32000, accuracy:0.45040946314831665, max accuracy:0.47224749772520475, loss:599.00390625, min Loss:597.9136352539062
iteration 33000, accuracy:0.37852593266606005, max accuracy:0.47224749772520475, loss:597.1904296875, min Loss:595.6595458984375
