iteration 1000, accuracy:0.41170097508125675, max accuracy:0.41170097508125675, loss:2081.394287109375, min Loss:2081.38134765625
iteration 2000, accuracy:0.48537378114842905, max accuracy:0.48537378114842905, loss:1747.0390625, min Loss:1744.25537109375
iteration 3000, accuracy:0.4507042253521127, max accuracy:0.48537378114842905, loss:1631.1883544921875, min Loss:1631.1883544921875
iteration 4000, accuracy:0.4658721560130011, max accuracy:0.48537378114842905, loss:1580.188232421875, min Loss:1573.978271484375
iteration 5000, accuracy:0.46803900325027087, max accuracy:0.48537378114842905, loss:1553.839111328125, min Loss:1544.85009765625
iteration 6000, accuracy:0.4257854821235103, max accuracy:0.48537378114842905, loss:1527.30517578125, min Loss:1521.0203857421875
iteration 7000, accuracy:0.4463705308775731, max accuracy:0.48537378114842905, loss:1497.4072265625, min Loss:1495.77978515625
iteration 8000, accuracy:0.4452871072589382, max accuracy:0.48537378114842905, loss:1477.651123046875, min Loss:1467.7213134765625
iteration 9000, accuracy:0.41278439869989164, max accuracy:0.48537378114842905, loss:1444.0909423828125, min Loss:1438.6236572265625
iteration 10000, accuracy:0.4485373781148429, max accuracy:0.48537378114842905, loss:1414.0675048828125, min Loss:1407.1842041015625
iteration 11000, accuracy:0.41170097508125675, max accuracy:0.48537378114842905, loss:1398.8055419921875, min Loss:1375.418701171875
iteration 12000, accuracy:0.419284940411701, max accuracy:0.48537378114842905, loss:1347.96533203125, min Loss:1347.4390869140625
iteration 13000, accuracy:0.46912242686890576, max accuracy:0.48537378114842905, loss:1321.1573486328125, min Loss:1320.8980712890625
iteration 14000, accuracy:0.4647887323943662, max accuracy:0.48537378114842905, loss:1304.5399169921875, min Loss:1296.0216064453125
iteration 15000, accuracy:0.3250270855904659, max accuracy:0.48537378114842905, loss:1307.009765625, min Loss:1274.035400390625
iteration 16000, accuracy:0.4182015167930661, max accuracy:0.48537378114842905, loss:1868.7568359375, min Loss:1268.03173828125
iteration 17000, accuracy:0.4247020585048754, max accuracy:0.48537378114842905, loss:1788.8636474609375, min Loss:1268.03173828125
