iteration 1000, accuracy:0.41863699582753827, max accuracy:0.41863699582753827, loss:21.424421310424805, min Loss:21.418853759765625
iteration 2000, accuracy:0.4432081594807603, max accuracy:0.4432081594807603, loss:21.10193634033203, min Loss:21.09650993347168
iteration 3000, accuracy:0.4520166898470097, max accuracy:0.4520166898470097, loss:20.727109909057617, min Loss:20.71883201599121
iteration 4000, accuracy:0.44367176634214184, max accuracy:0.4520166898470097, loss:20.586267471313477, min Loss:20.517810821533203
iteration 5000, accuracy:0.4520166898470097, max accuracy:0.4520166898470097, loss:20.209388732910156, min Loss:20.15806007385254
iteration 6000, accuracy:0.4441353732035234, max accuracy:0.4520166898470097, loss:19.865480422973633, min Loss:19.840234756469727
iteration 7000, accuracy:0.4232730644413537, max accuracy:0.4520166898470097, loss:19.64851188659668, min Loss:19.61960792541504
iteration 8000, accuracy:0.4274455261937877, max accuracy:0.4520166898470097, loss:19.450458526611328, min Loss:19.42901039123535
iteration 9000, accuracy:0.4418173388966157, max accuracy:0.4520166898470097, loss:19.268001556396484, min Loss:19.22990608215332
iteration 10000, accuracy:0.43069077422345853, max accuracy:0.4520166898470097, loss:19.091594696044922, min Loss:19.054248809814453
iteration 11000, accuracy:0.4283727399165508, max accuracy:0.4520166898470097, loss:18.903371810913086, min Loss:18.903371810913086
iteration 12000, accuracy:0.4237366713027353, max accuracy:0.4520166898470097, loss:18.788198471069336, min Loss:18.76425552368164
iteration 13000, accuracy:0.43022716736207695, max accuracy:0.4520166898470097, loss:18.703706741333008, min Loss:18.628515243530273
iteration 14000, accuracy:0.4459898006490496, max accuracy:0.4520166898470097, loss:18.656661987304688, min Loss:18.517446517944336
iteration 15000, accuracy:0.40751043115438107, max accuracy:0.4520166898470097, loss:18.487064361572266, min Loss:18.391462326049805
iteration 16000, accuracy:0.41307371349095967, max accuracy:0.4520166898470097, loss:18.392101287841797, min Loss:18.298830032348633
iteration 17000, accuracy:0.4089012517385257, max accuracy:0.4520166898470097, loss:18.411605834960938, min Loss:18.159414291381836
iteration 18000, accuracy:0.4316179879462216, max accuracy:0.4520166898470097, loss:18.10927391052246, min Loss:18.056888580322266
iteration 19000, accuracy:0.39823829392675014, max accuracy:0.4520166898470097, loss:18.127460479736328, min Loss:17.962139129638672
iteration 20000, accuracy:0.3991655076495132, max accuracy:0.4520166898470097, loss:18.203319549560547, min Loss:17.829376220703125
iteration 21000, accuracy:0.40751043115438107, max accuracy:0.4520166898470097, loss:17.920305252075195, min Loss:17.728750228881836
iteration 22000, accuracy:0.4144645340751043, max accuracy:0.4520166898470097, loss:17.847055435180664, min Loss:17.615808486938477
iteration 23000, accuracy:0.3801576263328697, max accuracy:0.4520166898470097, loss:17.875051498413086, min Loss:17.50722312927246
iteration 24000, accuracy:0.43069077422345853, max accuracy:0.4520166898470097, loss:17.476322174072266, min Loss:17.426513671875
iteration 25000, accuracy:0.4153917477978674, max accuracy:0.4520166898470097, loss:17.551753997802734, min Loss:17.334651947021484
iteration 26000, accuracy:0.38989337042188227, max accuracy:0.4520166898470097, loss:17.46809196472168, min Loss:17.26456642150879
iteration 27000, accuracy:0.4093648585999073, max accuracy:0.4520166898470097, loss:17.297082901000977, min Loss:17.1890869140625
iteration 28000, accuracy:0.41770978210477516, max accuracy:0.4520166898470097, loss:17.229591369628906, min Loss:17.132349014282227
iteration 29000, accuracy:0.4093648585999073, max accuracy:0.4520166898470097, loss:17.171964645385742, min Loss:17.061141967773438
iteration 30000, accuracy:0.40055632823365783, max accuracy:0.4520166898470097, loss:17.191659927368164, min Loss:17.00031089782715
iteration 31000, accuracy:0.4144645340751043, max accuracy:0.4520166898470097, loss:17.121694564819336, min Loss:16.911178588867188
iteration 32000, accuracy:0.40148354195642094, max accuracy:0.4520166898470097, loss:16.925443649291992, min Loss:16.83998680114746
iteration 33000, accuracy:0.4028743625405656, max accuracy:0.4520166898470097, loss:16.90924835205078, min Loss:16.78652572631836
iteration 34000, accuracy:0.3875753361149745, max accuracy:0.4520166898470097, loss:16.853647232055664, min Loss:16.705411911010742
iteration 35000, accuracy:0.4279091330551692, max accuracy:0.4520166898470097, loss:16.716957092285156, min Loss:16.6242733001709
iteration 36000, accuracy:0.4107556791840519, max accuracy:0.4520166898470097, loss:16.68742561340332, min Loss:16.557626724243164
iteration 37000, accuracy:0.37783959202596196, max accuracy:0.4520166898470097, loss:17.199474334716797, min Loss:16.477346420288086
iteration 38000, accuracy:0.3704218822438572, max accuracy:0.4520166898470097, loss:16.566362380981445, min Loss:16.41472053527832
iteration 39000, accuracy:0.40611961057023643, max accuracy:0.4520166898470097, loss:16.466758728027344, min Loss:16.321821212768555
iteration 40000, accuracy:0.37737598516458043, max accuracy:0.4520166898470097, loss:16.32369613647461, min Loss:16.2137508392334
iteration 41000, accuracy:0.35048678720445064, max accuracy:0.4520166898470097, loss:16.63523292541504, min Loss:16.129993438720703
iteration 42000, accuracy:0.35929531757070005, max accuracy:0.4520166898470097, loss:16.461885452270508, min Loss:16.05143165588379
iteration 43000, accuracy:0.37459434399629116, max accuracy:0.4520166898470097, loss:16.353242874145508, min Loss:16.000520706176758
iteration 44000, accuracy:0.4144645340751043, max accuracy:0.4520166898470097, loss:16.12552261352539, min Loss:15.918570518493652
iteration 45000, accuracy:0.3912841910060269, max accuracy:0.4520166898470097, loss:15.914060592651367, min Loss:15.811561584472656
iteration 46000, accuracy:0.37876680574872507, max accuracy:0.4520166898470097, loss:15.879769325256348, min Loss:15.758179664611816
iteration 47000, accuracy:0.35512285581826614, max accuracy:0.4520166898470097, loss:15.92560863494873, min Loss:15.679931640625
