iteration 1000, accuracy:0.38941890719861233, max accuracy:0.38941890719861233, loss:456.7796936035156, min Loss:456.6959228515625
iteration 2000, accuracy:0.3954900260190807, max accuracy:0.3954900260190807, loss:454.2640075683594, min Loss:453.7738952636719
iteration 3000, accuracy:0.419774501300954, max accuracy:0.419774501300954, loss:447.8438720703125, min Loss:447.7418518066406
iteration 4000, accuracy:0.396357328707719, max accuracy:0.419774501300954, loss:442.62939453125, min Loss:442.0611572265625
iteration 5000, accuracy:0.404163052905464, max accuracy:0.419774501300954, loss:438.574462890625, min Loss:437.9532470703125
iteration 6000, accuracy:0.4206418039895924, max accuracy:0.4206418039895924, loss:434.544921875, min Loss:434.12939453125
iteration 7000, accuracy:0.4189071986123157, max accuracy:0.4206418039895924, loss:431.1826477050781, min Loss:430.7322692871094
iteration 8000, accuracy:0.43972246313963576, max accuracy:0.43972246313963576, loss:428.25555419921875, min Loss:427.7311706542969
iteration 9000, accuracy:0.4319167389418907, max accuracy:0.43972246313963576, loss:425.3330993652344, min Loss:425.20098876953125
iteration 10000, accuracy:0.4605377276669558, max accuracy:0.4605377276669558, loss:425.1202392578125, min Loss:422.4753112792969
iteration 11000, accuracy:0.44232437120555074, max accuracy:0.4605377276669558, loss:422.17510986328125, min Loss:419.62713623046875
iteration 12000, accuracy:0.4388551604509974, max accuracy:0.4605377276669558, loss:416.8392028808594, min Loss:416.5830993652344
iteration 13000, accuracy:0.45533391153512576, max accuracy:0.4605377276669558, loss:414.1739501953125, min Loss:413.7773742675781
iteration 14000, accuracy:0.4032957502168257, max accuracy:0.4605377276669558, loss:412.90252685546875, min Loss:410.7911682128906
iteration 15000, accuracy:0.4562012142237641, max accuracy:0.4605377276669558, loss:409.20330810546875, min Loss:408.110107421875
iteration 16000, accuracy:0.43018213356461404, max accuracy:0.4605377276669558, loss:407.2028503417969, min Loss:405.64996337890625
iteration 17000, accuracy:0.4362532523850824, max accuracy:0.4605377276669558, loss:403.4678955078125, min Loss:403.1104431152344
iteration 18000, accuracy:0.42584562012142235, max accuracy:0.4605377276669558, loss:400.0382385253906, min Loss:400.0382385253906
iteration 19000, accuracy:0.3547267996530789, max accuracy:0.4605377276669558, loss:402.5444030761719, min Loss:396.94500732421875
iteration 20000, accuracy:0.39028620988725066, max accuracy:0.4605377276669558, loss:396.38372802734375, min Loss:394.1734924316406
iteration 21000, accuracy:0.4006938421509107, max accuracy:0.4605377276669558, loss:392.2850341796875, min Loss:391.677978515625
iteration 22000, accuracy:0.39462272333044235, max accuracy:0.4605377276669558, loss:390.1813049316406, min Loss:389.32879638671875
iteration 23000, accuracy:0.4163052905464007, max accuracy:0.4605377276669558, loss:387.009765625, min Loss:386.94500732421875
iteration 24000, accuracy:0.404163052905464, max accuracy:0.4605377276669558, loss:384.9455871582031, min Loss:384.7471923828125
iteration 25000, accuracy:0.424978317432784, max accuracy:0.4605377276669558, loss:386.449951171875, min Loss:382.7711181640625
iteration 26000, accuracy:0.3686036426712923, max accuracy:0.4605377276669558, loss:386.507080078125, min Loss:380.4689025878906
iteration 27000, accuracy:0.3998265394622723, max accuracy:0.4605377276669558, loss:378.6631774902344, min Loss:378.6398010253906
iteration 28000, accuracy:0.411968777103209, max accuracy:0.4605377276669558, loss:376.1756591796875, min Loss:375.9126281738281
iteration 29000, accuracy:0.411968777103209, max accuracy:0.4605377276669558, loss:374.266357421875, min Loss:373.72589111328125
iteration 30000, accuracy:0.3720728534258456, max accuracy:0.4605377276669558, loss:375.3981018066406, min Loss:372.0255126953125
iteration 31000, accuracy:0.4032957502168257, max accuracy:0.4605377276669558, loss:373.59527587890625, min Loss:370.0046691894531
iteration 32000, accuracy:0.4032957502168257, max accuracy:0.4605377276669558, loss:368.43572998046875, min Loss:368.2282409667969
iteration 33000, accuracy:0.42237640936686904, max accuracy:0.4605377276669558, loss:366.5881652832031, min Loss:366.2942199707031
iteration 34000, accuracy:0.404163052905464, max accuracy:0.4605377276669558, loss:364.6258544921875, min Loss:364.6158142089844
iteration 35000, accuracy:0.42671292281006074, max accuracy:0.4605377276669558, loss:363.0133361816406, min Loss:362.9643859863281
iteration 36000, accuracy:0.4284475281873374, max accuracy:0.4605377276669558, loss:364.3931884765625, min Loss:361.1187744140625
iteration 37000, accuracy:0.3590633130962706, max accuracy:0.4605377276669558, loss:360.60467529296875, min Loss:359.817138671875
iteration 38000, accuracy:0.43451864700780574, max accuracy:0.4605377276669558, loss:358.94439697265625, min Loss:358.3951416015625
iteration 39000, accuracy:0.3547267996530789, max accuracy:0.4605377276669558, loss:361.24212646484375, min Loss:356.9008483886719
iteration 40000, accuracy:0.38248048568950566, max accuracy:0.4605377276669558, loss:357.5379943847656, min Loss:355.59466552734375
iteration 41000, accuracy:0.39288811795316564, max accuracy:0.4605377276669558, loss:354.1183776855469, min Loss:353.9791259765625
iteration 42000, accuracy:0.4163052905464007, max accuracy:0.4605377276669558, loss:358.6225891113281, min Loss:352.3914489746094
iteration 43000, accuracy:0.41023417172593235, max accuracy:0.4605377276669558, loss:352.27191162109375, min Loss:351.26080322265625
iteration 44000, accuracy:0.3868169991326973, max accuracy:0.4605377276669558, loss:352.58905029296875, min Loss:349.9910583496094
iteration 45000, accuracy:0.34778837814397223, max accuracy:0.4605377276669558, loss:353.0594177246094, min Loss:348.3717346191406
iteration 46000, accuracy:0.4284475281873374, max accuracy:0.4605377276669558, loss:359.37969970703125, min Loss:347.276611328125
iteration 47000, accuracy:0.409366869037294, max accuracy:0.4605377276669558, loss:346.1116638183594, min Loss:345.9076232910156
iteration 48000, accuracy:0.28274067649609713, max accuracy:0.4605377276669558, loss:348.4945068359375, min Loss:344.6352844238281
iteration 49000, accuracy:0.4189071986123157, max accuracy:0.4605377276669558, loss:346.78546142578125, min Loss:343.43682861328125
iteration 50000, accuracy:0.3712055507372073, max accuracy:0.4605377276669558, loss:344.9217529296875, min Loss:342.3615417480469
iteration 51000, accuracy:0.3616652211621856, max accuracy:0.4605377276669558, loss:354.02313232421875, min Loss:341.2329406738281
iteration 52000, accuracy:0.2732003469210755, max accuracy:0.4605377276669558, loss:346.4868469238281, min Loss:339.72332763671875
iteration 53000, accuracy:0.404163052905464, max accuracy:0.4605377276669558, loss:338.5265197753906, min Loss:338.3228454589844
iteration 54000, accuracy:0.41283607979184733, max accuracy:0.4605377276669558, loss:338.4203796386719, min Loss:337.2030944824219
iteration 55000, accuracy:0.3746747614917606, max accuracy:0.4605377276669558, loss:340.9742126464844, min Loss:335.5561218261719
iteration 56000, accuracy:0.406764960971379, max accuracy:0.4605377276669558, loss:343.1035461425781, min Loss:334.8204040527344
iteration 57000, accuracy:0.4206418039895924, max accuracy:0.4605377276669558, loss:338.0586242675781, min Loss:333.54620361328125
iteration 58000, accuracy:0.3746747614917606, max accuracy:0.4605377276669558, loss:335.030517578125, min Loss:331.79779052734375
iteration 59000, accuracy:0.39462272333044235, max accuracy:0.4605377276669558, loss:334.7872619628906, min Loss:330.4828796386719
iteration 60000, accuracy:0.29141370338248046, max accuracy:0.4605377276669558, loss:334.837646484375, min Loss:328.85382080078125
iteration 61000, accuracy:0.34865568083261056, max accuracy:0.4605377276669558, loss:329.6723327636719, min Loss:327.9580993652344
iteration 62000, accuracy:0.32003469210754554, max accuracy:0.4605377276669558, loss:326.9927062988281, min Loss:326.64691162109375
iteration 63000, accuracy:0.411968777103209, max accuracy:0.4605377276669558, loss:326.3951416015625, min Loss:325.3110656738281
iteration 64000, accuracy:0.4111014744145707, max accuracy:0.4605377276669558, loss:330.68035888671875, min Loss:323.42852783203125
