iteration 1000, accuracy:0.3948497854077253, max accuracy:0.3948497854077253, loss:1054.6776123046875, min Loss:1054.6776123046875
iteration 2000, accuracy:0.39341917024320455, max accuracy:0.3948497854077253, loss:1030.72412109375, min Loss:1030.6478271484375
iteration 3000, accuracy:0.402002861230329, max accuracy:0.402002861230329, loss:994.8984375, min Loss:994.4638671875
iteration 4000, accuracy:0.36194563662374823, max accuracy:0.402002861230329, loss:967.9622192382812, min Loss:967.9622192382812
iteration 5000, accuracy:0.36623748211731044, max accuracy:0.402002861230329, loss:945.2528076171875, min Loss:943.2283935546875
iteration 6000, accuracy:0.41201716738197425, max accuracy:0.41201716738197425, loss:923.2313232421875, min Loss:922.4638061523438
iteration 7000, accuracy:0.3948497854077253, max accuracy:0.41201716738197425, loss:905.7181396484375, min Loss:904.9344482421875
iteration 8000, accuracy:0.4005722460658083, max accuracy:0.41201716738197425, loss:894.014404296875, min Loss:891.0753173828125
iteration 9000, accuracy:0.4062947067238913, max accuracy:0.41201716738197425, loss:881.9376220703125, min Loss:879.1700439453125
iteration 10000, accuracy:0.3876967095851216, max accuracy:0.41201716738197425, loss:879.5250244140625, min Loss:865.8082275390625
iteration 11000, accuracy:0.3590844062947067, max accuracy:0.41201716738197425, loss:866.4908447265625, min Loss:853.4072265625
iteration 12000, accuracy:0.39628040057224606, max accuracy:0.41201716738197425, loss:841.7574462890625, min Loss:838.666015625
iteration 13000, accuracy:0.4062947067238913, max accuracy:0.41201716738197425, loss:824.749755859375, min Loss:824.749755859375
iteration 14000, accuracy:0.4206008583690987, max accuracy:0.4206008583690987, loss:809.7586059570312, min Loss:809.6243286132812
iteration 15000, accuracy:0.4177396280400572, max accuracy:0.4206008583690987, loss:795.358154296875, min Loss:794.3677978515625
iteration 16000, accuracy:0.4248927038626609, max accuracy:0.4248927038626609, loss:781.8165283203125, min Loss:777.6666870117188
iteration 17000, accuracy:0.41201716738197425, max accuracy:0.4248927038626609, loss:763.837890625, min Loss:762.8721313476562
iteration 18000, accuracy:0.39198855507868385, max accuracy:0.4248927038626609, loss:749.2113647460938, min Loss:748.653076171875
iteration 19000, accuracy:0.413447782546495, max accuracy:0.4248927038626609, loss:747.0382080078125, min Loss:735.2626342773438
